,"TEST_LABEL=AVG3_NYC_(1,)_300_STEP_0003_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=AVG3_NYC_(1,)_300_STEP_0004_STEPSIZE_RULE=MCCL_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=AVG3_NYC_(1,)_300_STEP_0002_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=AVG3_NYC_(1,)_300_STEP_0001_STEPSIZE_RULE=CONST_DISCOUNT_FACTOR=0.1_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)"
0,10573.282848700004,10597.757848000001,10594.800749900001,10596.2671476
1,12134.652521700005,12061.904424500002,11256.924463599998,10774.617056100004
2,12044.135805400001,12358.027207900004,11564.6999196,10952.695923899999
3,12141.584861699992,12268.089544799997,11486.441388600002,11169.137634900002
4,12248.029079900001,12296.656512100006,11103.934629999998,11364.366533400003
5,12230.527909699997,11613.2409293,10756.194094200004,11058.655213399996
6,12247.113181700002,11715.1908177,10812.619809199996,10911.1394666
7,12121.047573399996,11822.622210600006,10792.017208299998,10724.403085000002
8,11935.967616699996,11422.689159599997,10300.778952799998,10629.779740099997
9,11661.091464099998,11750.486019300002,10671.912205999999,10802.055267300002
10,11761.701523400003,11712.109742100007,10674.3917228,10993.4511358
11,11721.854892099997,11626.685584400002,10320.691360000004,11002.260315199996
12,11805.116702199992,11688.148072899994,10420.589622500001,10552.998189100004
13,11831.726189800003,11527.313303,10551.888044699997,10755.889772300005
14,11479.818343499996,11478.8549398,10370.772194099996,10507.0832668
15,11494.926600299998,11636.566230400005,10553.928285200001,10531.2288185
16,11459.634525599999,11556.651464700004,10524.159475800003,10547.325701000007
17,11489.097329900003,11684.8371159,10567.998266299997,10654.155943600003
18,11374.4311781,11631.8594107,10434.258263399997,10678.1724195
19,11389.0041799,11464.903913600001,10389.058506399997,10430.718538199999
20,11387.948059899998,11742.989937899998,10635.926321500001,10428.350014300002
21,11181.381057699993,11528.466286999997,10376.265125099995,10425.429939199998
22,11271.262060699995,11588.8448531,10447.184946799998,10487.243390000001
23,11244.395092099998,11623.663154800006,10475.287322200002,10615.121688899995
24,11240.9820351,11522.559020000002,10305.644309899993,10605.388894700001
25,11420.1752569,11633.344488000004,10341.493374099997,10640.1468538
26,11066.575019200003,11510.281933000002,10360.347740999996,10435.477316799994
27,11409.680066899997,11476.169820500001,10497.906325799999,10556.0413465
28,11348.979663600001,11437.878066099996,10243.957215999995,10450.290759299996
29,11481.3464071,11628.1541585,10530.424002200003,10488.283547099996
