,"SHORT_CLASSED_cars=0400_levels[6]=(  0,  60,  90, 120, 180, 270)_rebal=[0, 1]_[05h,+04h]_resize=0.10_discount=0.05_stepsize=0.10"
0,18720.9806942
1,18750.2017074
2,18813.014015099998
3,19264.9169488
4,19793.373656099997
5,19354.576936799993
6,19265.325663800002
7,19457.72441139999
8,19847.561017100004
9,19807.4931195
10,19644.513423800003
11,19678.148266500008
12,18820.735774600005
13,19458.100071899997
14,20285.3032969
15,19897.34194779999
16,19938.0247064
17,19381.75644390001
18,19804.641143099994
19,19657.596499
20,19736.416993100003
21,19416.120451500006
22,19989.148552599996
23,19833.9760169
24,19569.5825824
25,19574.587451499996
26,19971.543919699987
27,19606.713295
28,20055.885000799994
29,19804.037471099997
30,19738.207748900004
31,20226.8461109
32,19671.49126620001
33,20186.8423742
34,19477.6227094
35,19925.2931227
36,19501.331264799985
37,19628.45743169999
38,19909.385317899996
39,19550.706569999995
40,20091.828501200012
41,19792.43021399999
42,19670.851673400004
43,19722.0145835
44,20203.485005
45,19610.416116999982
46,19700.5356938
47,19965.94633700001
48,20434.309620300006
49,19792.797577000016
