,"SHORT_H_cars=0400_levels[6]=(  0,  60,  90, 120, 180, 270)_rebal=[0, 1]_[05h,+04h]_resize=0.10_discount=0.05_stepsize=0.10"
0,14687.993505639999
1,16334.864114519998
2,14879.80855151
3,15647.260078880003
4,16492.236413830014
5,15929.2125446
6,15806.026177779995
7,16371.037199919996
8,15010.845029780001
9,15910.81193964
10,16425.641273619996
11,15777.080412550009
12,15125.73648222
13,16522.015338490004
14,16175.85830635
15,15599.643434859998
16,16305.106447760001
17,15568.366020000001
18,14775.422203020002
19,15246.833601749999
20,14974.328733690005
21,14677.561115789998
22,15315.978584019993
23,16145.570544849998
24,15832.716223019997
25,16525.821377419998
26,16418.91675156
27,16798.708348739998
28,15037.489960009998
29,15106.695738729995
30,15121.183789370001
31,15259.16783942
32,15527.473870959991
33,16116.29704177
34,15962.51078989
35,16464.713829249995
36,15042.79993996
37,17189.038189879997
38,16734.508470219997
39,16024.582625820003
40,15922.173613999998
41,15739.32530162
42,16149.125380719996
43,16790.919070059997
44,16912.268581170003
45,16708.6455991
46,16715.06385114
47,16525.228002850003
48,16665.54358034
49,15591.003344779998
