,"TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.03_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.03_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.01_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.01_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.02_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.02_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.07_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.07_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.03_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.03_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.01_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.01_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.02_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.02_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.07_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_DISCOUNT_FACTOR=0.07_STEPSIZE_FIXED=0.05_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)"
0,13867.5871114,13710.871832900013,13908.8301655,13850.996497399996,14410.0724386,14394.772485500001,14442.117224800002,14558.136609699997,14783.122840100004,14737.48628040001,14670.168725000001,14853.0733109,14712.930645600001,14809.070685300001,14666.406222299996,14705.729052,13920.794480299997,15098.0125695,14364.549045000003,15022.448145999999
1,13873.728326200004,14050.106598999999,14426.305215699995,14472.372222099993,14946.155078099999,15056.894890200007,14898.940435400003,15060.7580565,14374.558174800002,14776.876556999994,14628.117964799998,14987.1948565,15271.600084099999,15136.5014877,14783.741932599993,14626.661197000009,14103.772295499999,14152.907944700002,14204.373372100003,14034.328950100004
2,15273.16432869999,14781.057708900002,14478.424851,14434.8881134,15959.238697300003,14200.999260199998,14595.582231100003,14554.428098500006,14833.745268699999,14867.843215199999,14735.181666300003,15739.290441799996,14654.136356299994,15614.832447100003,14714.870207300002,15895.440454300006,14288.300710099991,15079.472372199998,14374.2690304,14500.5149783
3,15296.71354449999,15069.224090600002,14528.437532400003,14793.251477199985,15466.674471900003,15059.010333299999,14513.989150899992,14598.190878000003,14636.723187799997,13907.0797833,16043.419428599991,15218.132119099995,15048.9952649,14341.931085200004,15339.520217299994,15848.418516199998,15765.560593200003,14938.281498199995,14220.16603319999,15186.211422900004
4,15563.296504399994,15535.186062700006,14340.686339300002,14671.744844699993,16029.435758800004,16174.624198599995,15018.133722900006,15215.918897999998,14899.027636200004,14674.935973000003,16052.798440499995,15437.973932200004,15809.766722300003,14948.662845,15925.86734910001,15474.088306399997,14986.880281900005,15330.794844200003,14403.71461389999,14434.993999000004
5,15206.775565300002,15631.985738600002,14618.155342800008,14933.051778899997,15615.298142099997,16035.9507201,14562.279953799996,14305.632030000004,15088.1308959,15515.440866400004,16253.045251099991,16002.4933821,15618.312791900007,14918.376868599991,15839.510685300005,15870.202512199998,15343.360647300002,15031.601813800002,14615.564502799994,14580.3229829
6,14386.286778400001,16183.660910000004,15005.996609899987,15080.806862200001,15687.952847699999,15078.424592,14059.470397900004,12815.217196100002,14820.831232299994,15107.890164400003,15520.3181943,15872.960272499999,14814.970283399995,14083.331889000001,15464.768878600005,15804.740188299997,15792.8499366,15439.170572699993,14152.688932300003,14038.7443327
7,15977.725195799996,15932.750008900004,14876.872069800002,15005.897278800003,15757.897392399995,16081.326878400001,15407.3978509,15682.148834000001,14991.934624099997,15643.512315699996,16332.356614400001,16320.706088900004,15506.541295699993,14778.205789300002,16125.5292419,16025.871193099998,15566.097143099998,15380.948015200001,15167.020903500003,15157.259444699996
8,16450.2950125,16218.660563900003,14616.2236258,15191.73785539999,15359.193326699993,15799.906822600004,13786.052474099995,14338.137594,15700.212259800002,15042.993754800005,16145.995601199997,14936.763103699994,15147.053659799993,14418.926915099997,16024.871221799998,15405.952018500006,15312.792687899993,15741.353281600008,14739.238525699993,14588.156084700002
9,16052.53782210001,16000.730480199998,14680.770401899998,14883.257135800006,15197.266611899995,15274.963774599995,14375.117147400004,15499.062438799994,15280.684571300002,14610.736929499999,15808.117874400003,15704.603646500003,14837.284242000005,14648.344091199991,16000.090949999993,15321.298750399996,15037.839168800003,14714.748032600011,15211.220911700002,14567.144735199994
10,16105.907977500012,15558.356148000003,14678.113660500005,14802.2541238,15576.790476299991,16088.657963500003,16030.366390500001,15422.014218899998,14932.383219599997,14850.925630300002,15602.9719241,15906.33459070001,14063.913760399997,14410.35026459999,16080.339911300007,15486.902923699996,15378.2725459,15652.755976000002,14736.540350699992,14619.363192800003
11,15648.670685500007,16223.347894899991,14822.971,14688.307903299992,15394.788102800008,15798.972959500003,15581.419060399998,14666.077947999998,14845.137788799995,14418.8377991,15822.897805199995,14982.264977800003,14223.4621345,14589.850510999997,16094.301284599998,15770.214037700012,15550.7036127,15345.134212099993,15190.959986800004,15317.394196800002
