,"TEST_LABEL=TUNING_30_DISCOUNT_FACTOR=0.03_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_30_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1,)","TEST_LABEL=TUNING_30_DISCOUNT_FACTOR=0.03_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)","TEST_LABEL=TUNING_30_DISCOUNT_FACTOR=0.05_STEPSIZE_FIXED=0.1_FLEET_SIZE=300_DEMAND_SCENARIO=NYC_REBALANCE_LEVEL=(1, 2)"
0,13913.781395900001,13821.911688699993,13798.628247000008,13799.636039700006
1,14070.9208821,14040.500862299994,14084.541191900003,14152.8541771
2,14103.802492599994,14400.223823100003,13828.16006779999,14039.576419999989
3,14475.042803199998,14647.279195100004,14470.7795886,14574.330749900002
4,14389.940171200007,14285.091018099996,13914.620367700001,14967.434260300006
5,14671.247117400004,14716.001558799999,14402.384917700003,15006.730035499993
6,15424.198087600003,15319.044879399993,15270.470324900001,16219.9223974
7,15405.864283800001,15406.628435600001,15725.431779,16003.132517199994
8,15819.085814699985,15648.322836100011,16373.605938200002,16223.513735600001
9,15562.233748800005,15873.574731900006,15976.7071985,15998.138172500008
10,15756.8262593,15734.059795200003,15541.0716283,15643.529454600006
11,16274.3325747,16748.5149727,16379.244401199998,16486.612214700002
12,16374.943148699995,16115.741741199998,16353.550529200007,16059.4772124
13,15617.277207699997,15815.6540075,16035.559738899996,15823.632338600002
14,16153.89517149999,16001.086106399995,16413.2211126,16089.058840000005
15,16148.235493999999,16669.188235699992,16681.302787699995,16443.5485315
16,15899.981189900001,16339.1338484,16084.475501600004,15763.529526199998
17,15190.665975500006,15520.848873400011,15743.302120799997,15459.389469999995
18,15083.017689299999,15924.9773377,15828.529762100005,15640.021332900003
19,15284.053383800003,15758.72622630001,15770.68959519999,15361.533349100002
20,15910.687604000004,15369.077256199993,15959.738519300001,15797.395852599999
21,15418.575021699999,15607.211528500002,15926.115832999994,15698.922996099991
22,16382.585970099999,16296.774043700007,16225.661232800001,16426.874812600006
23,15738.564526299991,15629.7966376,15938.8121476,16396.937337300013
24,16412.144536599997,16289.8865679,16071.4530594,16690.7867314
25,16556.44458230001,16606.803109799996,15749.994946600005,16526.9143725
26,15530.737733999997,16603.9765308,16032.168997799996,15971.7038788
27,15213.477213800003,16227.793725199997,15903.777931500004,16158.445920200003
28,15931.114833099999,16197.845390999999,16084.135295699996,16404.502371600003
29,16156.372814100007,15678.742500500004,16133.090823499988,15481.456391099997
