,"concentric_LIN_cars=0300(L)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(L)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10"
0,14908.103364066492,14803.511029031177,14692.025239148366,14646.351985126517
1,14194.03353343812,14259.7844483449,14118.510727734214,14070.759719327865
2,14831.571734201865,14930.803219778343,14444.043233013277,14455.402052394038
3,14532.409491001876,15408.388614898442,14366.33202778021,14150.944634065543
4,14887.159422671119,15556.306216924706,14605.3776900196,14726.093236035973
5,14790.188544008292,15130.486943177919,14980.510307941713,14760.420878381221
6,15271.881478842743,15269.817825593245,15295.926151489526,15342.901154643198
7,15391.115145085536,15519.777381791335,15090.732991939229,15002.598936017299
8,15319.675948391061,15131.009581980905,15135.125780973482,15201.616639650954
9,15480.562202962712,15485.000961605472,14883.877190181125,14890.598408132175
10,15487.489574174562,15337.290247524641,15170.83620115055,14852.246338657822
11,15821.036808045312,15595.063037621532,14895.686009684201,14851.593832049837
12,15569.610621495705,15354.87146020058,15186.480070685075,15056.945279050702
13,15709.814623407789,15226.471366990354,15675.957482943504,15415.476858581484
14,16018.14327797037,15885.262674307953,15125.171566236291,14920.304066086299
15,16369.612340467376,16256.31438177888,15495.806488613536,15253.701316599736
16,16304.239657848957,16295.974771529884,15591.90728331051,15541.467929007986
17,16680.065998126996,16252.764024857805,15594.393180947623,15451.030474381441
18,16482.519332113166,16350.554593940491,15689.27737011272,15449.55207959788
19,17026.45413828934,16404.781731519084,16295.333309091104,16130.39638310397
20,16310.794438529458,16709.048814133257,16015.014635972924,15887.38493596764
21,16650.301571481694,16778.485247364195,15942.176297779688,15698.907156095665
22,16246.488476614893,16490.795556707773,16499.913206777434,16211.449694625024
23,16294.413322291977,16822.40377169178,16109.378727912279,15946.909701944698
24,16613.011513798923,16605.91610793428,16129.265690445847,15912.643380786221
25,16400.57118318237,16431.228722639145,15567.315063738002,15281.811309725961
26,16654.608651458762,16716.773436981497,15585.610158138135,15439.167717977421
27,16660.48289388871,16441.545788573407,15258.133913238213,15128.624968393302
28,16882.657624219417,16425.017985170587,15712.349750364107,15532.546674078649
29,16754.083912441045,16871.66217525973,15918.2593087853,15742.288442154611
